timestamp,cpu_some10,cpu_some60,mem_some10,mem_some60,mem_full10,mem_full60,io_some10,io_some60,io_full10,io_full60
1773664346.132,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664347.154,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664348.173,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664349.196,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664350.222,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664351.243,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664352.262,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664353.282,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664354.301,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664355.328,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664356.350,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664357.369,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664358.391,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664359.412,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664360.438,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664361.456,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664362.475,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664363.494,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664364.514,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664365.541,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664366.561,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664367.580,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664368.600,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664369.620,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664370.647,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664371.667,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664372.687,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664373.706,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664374.725,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664375.751,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664376.772,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664377.792,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664378.811,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664379.832,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664380.859,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664381.880,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664382.901,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664383.921,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664384.942,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664385.968,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664386.989,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664388.008,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664389.032,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664390.052,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664391.079,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664392.101,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664393.123,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664394.144,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664395.162,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664396.188,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664397.209,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664398.229,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664399.251,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664400.269,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664401.296,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664402.314,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664403.335,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664404.354,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664405.375,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664406.404,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664407.425,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664408.447,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664409.467,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664410.488,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664411.516,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664412.537,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664413.559,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664414.579,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664415.599,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664416.627,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664417.649,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664418.668,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664419.690,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664420.711,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664421.738,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664422.757,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664423.778,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664424.799,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664425.821,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664426.846,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664427.868,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664428.889,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664429.910,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664430.931,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664431.957,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664432.975,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664433.997,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664435.017,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664436.036,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664437.063,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664438.083,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664439.103,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664440.122,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664441.144,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664442.172,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664443.192,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664444.212,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773664445.233,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
