timestamp,cpu_some10,cpu_some60,mem_some10,mem_some60,mem_full10,mem_full60,io_some10,io_some60,io_full10,io_full60
1773644559.820,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644560.844,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644561.868,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644562.899,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644563.924,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644564.947,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644565.977,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644566.999,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644568.027,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644569.048,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644570.066,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644571.086,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644572.104,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644573.130,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644574.151,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644575.170,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644576.194,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644577.216,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644578.242,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644579.260,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644580.285,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644581.309,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644582.335,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644583.368,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644584.393,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644585.420,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644586.445,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644587.470,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644588.500,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644589.525,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644590.555,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644591.583,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644592.609,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644593.639,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644594.661,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644595.684,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644596.712,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644597.737,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644598.768,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644599.792,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644600.816,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644601.840,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644602.863,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644603.895,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644604.920,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644605.943,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644606.967,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644607.991,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644609.022,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644610.044,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644611.067,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644612.091,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644613.116,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644614.148,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644615.172,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644616.198,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644617.221,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644618.247,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644619.279,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644620.306,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644621.331,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644622.353,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644623.375,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644624.404,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644625.431,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1773644626.456,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
