WARNING: BPFTRACE_MAP_KEYS_MAX is deprecated. Use BPFTRACE_MAX_MAP_KEYS instead.
Attaching 2 probes...
15:25:02 pid=709 comm=kworker/5:3 fence_wait_ms=23
15:25:03 pid=227 comm=kworker/0:2 fence_wait_ms=23
15:25:03 pid=152 comm=kworker/1:1 fence_wait_ms=23
15:25:03 pid=227 comm=kworker/0:2 fence_wait_ms=23
15:25:03 pid=152 comm=kworker/1:1 fence_wait_ms=23
15:25:03 pid=21897 comm=kworker/3:2 fence_wait_ms=23
15:25:03 pid=15043 comm=kworker/2:3 fence_wait_ms=23
15:25:03 pid=152 comm=kworker/1:1 fence_wait_ms=23
15:25:03 pid=227 comm=kworker/0:2 fence_wait_ms=23
15:25:03 pid=21897 comm=kworker/3:2 fence_wait_ms=23
15:25:03 pid=21897 comm=kworker/3:2 fence_wait_ms=23
15:25:04 pid=227 comm=kworker/0:2 fence_wait_ms=23
15:25:04 pid=15043 comm=kworker/2:3 fence_wait_ms=23
15:25:04 pid=855 comm=kworker/6:2 fence_wait_ms=23
15:25:04 pid=21936 comm=kworker/4:6 fence_wait_ms=23
15:25:04 pid=709 comm=kworker/5:3 fence_wait_ms=23
15:25:04 pid=227 comm=kworker/0:2 fence_wait_ms=23
15:25:04 pid=15043 comm=kworker/2:3 fence_wait_ms=23
15:25:05 pid=709 comm=kworker/5:3 fence_wait_ms=23
15:25:05 pid=227 comm=kworker/0:2 fence_wait_ms=23
15:25:05 pid=21897 comm=kworker/3:2 fence_wait_ms=23
15:25:05 pid=709 comm=kworker/5:3 fence_wait_ms=23
15:25:05 pid=21897 comm=kworker/3:2 fence_wait_ms=23
15:25:05 pid=152 comm=kworker/1:1 fence_wait_ms=6
15:25:06 pid=21897 comm=kworker/3:2 fence_wait_ms=23
15:25:06 pid=855 comm=kworker/6:2 fence_wait_ms=24
15:25:06 pid=21936 comm=kworker/4:6 fence_wait_ms=23
15:25:06 pid=23415 comm=kworker/7:2 fence_wait_ms=23
15:25:06 pid=21936 comm=kworker/4:6 fence_wait_ms=23
15:25:06 pid=23415 comm=kworker/7:2 fence_wait_ms=6
15:25:11 pid=169 comm=kworker/10:1 fence_wait_ms=26
15:25:11 pid=1823 comm=kworker/9:2 fence_wait_ms=23
15:25:11 pid=855 comm=kworker/6:2 fence_wait_ms=6
15:25:11 pid=152 comm=kworker/1:1 fence_wait_ms=6
15:25:12 pid=855 comm=kworker/6:2 fence_wait_ms=23
15:25:12 pid=152 comm=kworker/1:1 fence_wait_ms=24
15:25:12 pid=855 comm=kworker/6:2 fence_wait_ms=23
15:25:12 pid=23415 comm=kworker/7:2 fence_wait_ms=6
15:25:12 pid=152 comm=kworker/1:1 fence_wait_ms=23
15:25:13 pid=21936 comm=kworker/4:6 fence_wait_ms=24
15:25:13 pid=855 comm=kworker/6:2 fence_wait_ms=6
15:25:13 pid=23415 comm=kworker/7:2 fence_wait_ms=25
15:25:13 pid=21882 comm=kworker/u65:5 fence_wait_ms=6
15:25:13 pid=23415 comm=kworker/7:2 fence_wait_ms=25
15:25:13 pid=855 comm=kworker/6:2 fence_wait_ms=6
15:25:13 pid=21936 comm=kworker/4:6 fence_wait_ms=23
15:25:13 pid=709 comm=kworker/5:3 fence_wait_ms=23
15:25:13 pid=21936 comm=kworker/4:6 fence_wait_ms=23
15:25:13 pid=709 comm=kworker/5:3 fence_wait_ms=24
15:25:14 pid=15043 comm=kworker/2:3 fence_wait_ms=23
15:25:14 pid=709 comm=kworker/5:3 fence_wait_ms=23
15:25:14 pid=152 comm=kworker/1:1 fence_wait_ms=23
15:25:14 pid=709 comm=kworker/5:3 fence_wait_ms=6
15:25:15 pid=21897 comm=kworker/3:2 fence_wait_ms=6
15:25:15 pid=855 comm=kworker/6:2 fence_wait_ms=24
15:25:15 pid=21897 comm=kworker/3:2 fence_wait_ms=24
15:25:15 pid=15043 comm=kworker/2:3 fence_wait_ms=24
15:25:15 pid=21897 comm=kworker/3:2 fence_wait_ms=6
15:25:15 pid=709 comm=kworker/5:3 fence_wait_ms=23
15:25:16 pid=227 comm=kworker/0:2 fence_wait_ms=23
15:25:16 pid=15043 comm=kworker/2:3 fence_wait_ms=23
15:25:16 pid=21936 comm=kworker/4:6 fence_wait_ms=23
15:25:16 pid=21897 comm=kworker/3:2 fence_wait_ms=23
15:25:16 pid=709 comm=kworker/5:3 fence_wait_ms=23
15:25:16 pid=21936 comm=kworker/4:6 fence_wait_ms=23
15:25:16 pid=21897 comm=kworker/3:2 fence_wait_ms=23
15:25:16 pid=21936 comm=kworker/4:6 fence_wait_ms=23
15:25:16 pid=15043 comm=kworker/2:3 fence_wait_ms=23
15:25:17 pid=709 comm=kworker/5:3 fence_wait_ms=24
15:25:17 pid=152 comm=kworker/1:1 fence_wait_ms=24
15:25:17 pid=227 comm=kworker/0:2 fence_wait_ms=23
15:25:17 pid=21897 comm=kworker/3:2 fence_wait_ms=23
15:25:17 pid=709 comm=kworker/5:3 fence_wait_ms=23
15:25:17 pid=152 comm=kworker/1:1 fence_wait_ms=23
15:25:17 pid=709 comm=kworker/5:3 fence_wait_ms=6
