timestamp,cpu_some10,cpu_some60,mem_some10,mem_some60,mem_full10,mem_full60,io_some10,io_some60,io_full10,io_full60
1774107851.687,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774107852.711,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774107853.734,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774107854.762,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774107855.797,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774107856.821,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774107857.844,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774107858.866,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774107859.892,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774107860.934,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774107861.973,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774107862.998,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774107864.024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774107865.056,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774107866.087,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774107867.108,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774107868.132,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774107869.154,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774107870.179,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774107871.213,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774107872.238,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774107873.266,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774107874.294,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774107875.322,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774107876.356,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774107877.384,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774107878.416,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774107879.442,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774107880.467,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774107881.498,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774107882.528,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774107883.620,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774107884.735,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774107885.764,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774107886.794,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774107887.818,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774107888.841,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774107889.863,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774107890.886,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774107891.913,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774107892.934,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774107893.956,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774107894.977,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774107895.998,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774107897.027,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774107898.046,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774107899.070,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774107900.092,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
