timestamp,rel_offset_s,category,message
1774182219.706,3515.1,DSF,"+47+005.dsf (3652ms)"
1774182243.324,3538.7,AIRPORT,"Loading sim objects for airport LSZY"
1774182257.957,3553.4,AIRPORT,"Loading sim objects for airport LSZQ"
1774182324.673,3620.1,AIRPORT,"Loading sim objects for airport LFSM"
1774182390.572,3686.0,AIRPORT,"Loading sim objects for airport XLF007L"
1774182468.572,3764.0,AIRPORT,"Loading sim objects for airport LFYL"
1774182594.723,3890.1,AIRPORT,"Loading sim objects for airport XLF0014"
1774182723.871,4019.3,DSF,"+49+005.dsf (39ms)"
1774182723.903,4019.3,DSF,"+49+005.dsf (27ms)"
1774182723.903,4019.3,DSF,"+49+005.dsf (5ms)"
1774182723.970,4019.4,DSF,"+49+005.dsf (69ms)"
1774182724.171,4019.6,DSF,"+49+005.dsf (177ms)"
1774182724.171,4019.6,DSF,"+49+005.dsf (28ms)"
1774182724.437,4019.9,DSF,"+49+005.dsf (254ms)"
1774182727.623,4023.0,DSF,"+49+005.dsf (3169ms)"
1774182727.826,4023.2,DSF,"+49+007.dsf (104ms)"
1774182727.921,4023.3,DSF,"+49+007.dsf (94ms)"
1774182728.154,4023.6,DSF,"+49+007.dsf (244ms)"
1774182728.188,4023.6,DSF,"+49+007.dsf (2ms)"
1774182728.587,4024.0,DSF,"+49+007.dsf (413ms)"
1774182732.753,4028.2,DSF,"+49+007.dsf (4176ms)"
1774182732.888,4028.3,DSF,"+49+007.dsf (112ms)"
1774182732.920,4028.3,DSF,"+49+007.dsf (45ms)"
1774182733.387,4028.8,DSF,"+49+007.dsf (468ms)"
1774182737.804,4033.2,DSF,"+49+007.dsf (4318ms)"
1774182754.019,4049.4,AIRPORT,"Loading sim objects for airport LFSE"
1774182754.171,4049.6,DSF,"+49+006.dsf (221ms)"
1774182754.388,4049.8,DSF,"+49+006.dsf (221ms)"
1774182754.421,4049.8,DSF,"+49+006.dsf (46ms)"
1774182754.454,4049.9,DSF,"+49+006.dsf (9ms)"
1774182754.855,4050.3,DSF,"+49+006.dsf (382ms)"
1774182757.787,4053.2,DSF,"+49+006.dsf (2935ms)"
1774182758.088,4053.5,DSF,"+49+006.dsf (328ms)"
1774182758.122,4053.5,DSF,"+49+006.dsf (26ms)"
1774182758.521,4053.9,DSF,"+49+008.dsf (54ms)"
1774182758.521,4053.9,DSF,"+49+008.dsf (5ms)"
1774182758.620,4054.0,DSF,"+49+008.dsf (48ms)"
1774182758.654,4054.1,DSF,"+49+006.dsf (529ms)"
1774182758.754,4054.2,DSF,"+49+008.dsf (130ms)"
1774182759.153,4054.6,DSF,"+49+008.dsf (382ms)"
1774182759.153,4054.6,DSF,"+49+008.dsf (2ms)"
1774182760.287,4055.7,DSF,"+49+008.dsf (1129ms)"
1774182763.837,4059.3,DSF,"+49+006.dsf (5154ms)"
1774182768.704,4064.1,DSF,"+49+008.dsf (8430ms)"
1774182768.938,4064.4,DSF,"+49+008.dsf (225ms)"
1774182769.104,4064.5,DSF,"+49+008.dsf (174ms)"
1774182769.938,4065.4,DSF,"+49+008.dsf (807ms)"
1774182774.272,4069.7,DSF,"+49+008.dsf (4323ms)"
1774182904.186,4199.6,AIRPORT,"Loading sim objects for airport LF5421"
1774182922.503,4217.9,AIRPORT,"Loading sim objects for airport LFQC"
1774182931.669,4227.1,WEATHER,"Will fetch 'https://weatherservice.x-plane.com/api/v1/manifest/debug/2026-03-22T12:35:34Z' for epoch '1774182934"
1774182932.287,4227.7,WEATHER,"Parsing weather manifest ID '81179'"
1774182989.971,4285.4,AIRPORT,"Loading sim objects for airport XLF000N"
1774183061.170,4356.6,AIRPORT,"Loading sim objects for airport XLF001I"
1774183281.621,4577.0,DSF,"+50+005.dsf (55ms)"
1774183281.721,4577.1,DSF,"+50+005.dsf (77ms)"
1774183281.721,4577.1,DSF,"+50+005.dsf (20ms)"
1774183281.755,4577.2,DSF,"+50+005.dsf (1ms)"
1774183281.755,4577.2,DSF,"+50+007.dsf (90ms)"
1774183281.888,4577.3,DSF,"+50+005.dsf (135ms)"
1774183281.888,4577.3,DSF,"+50+007.dsf (75ms)"
1774183281.955,4577.4,DSF,"+50+007.dsf (75ms)"
1774183282.021,4577.4,DSF,"+50+007.dsf (70ms)"
1774183282.055,4577.5,DSF,"+50+007.dsf (3ms)"
1774183282.521,4577.9,DSF,"+50+005.dsf (649ms)"
1774183282.621,4578.0,DSF,"+50+005.dsf (86ms)"
1774183282.855,4578.3,DSF,"+50+005.dsf (243ms)"
1774183283.321,4578.7,DSF,"+50+007.dsf (1286ms)"
1774183287.688,4583.1,DSF,"+50+005.dsf (4819ms)"
1774183300.356,4595.8,DSF,"+50+007.dsf (17151ms)"
1774183300.558,4596.0,DSF,"+50+007.dsf (65ms)"
1774183301.028,4596.4,DSF,"+50+007.dsf (503ms)"
1774183307.822,4603.2,DSF,"+50+007.dsf (6735ms)"
1774183308.248,4603.7,ERROR,"E/OBJ: ERROR: object Custom Scenery/EDDK - Iberdesign V2.6 - Airport/Assets/Models/LightFixtures/EDDK_LightFixtures_THRE"
1774183308.248,4603.7,ERROR,"E/OBJ: ERROR: object Custom Scenery/EDDK - Iberdesign V2.6 - Airport/Assets/Models/LightFixtures/EDDK_LightFixtures_RWY_"
1774183308.248,4603.7,ERROR,"E/OBJ: ERROR: object Custom Scenery/EDDK - Iberdesign V2.6 - Airport/Assets/Models/LightFixtures/EDDK_LightFixtures_RWY_"
1774183308.282,4603.7,ERROR,"E/OBJ: ERROR: object Custom Scenery/EDDK - Iberdesign V2.6 - Airport/Assets/Models/LightFixtures/EDDK_LightFixtures_RWY_"
1774183308.282,4603.7,ERROR,"E/OBJ: ERROR: object Custom Scenery/EDDK - Iberdesign V2.6 - Airport/Assets/Models/LightFixtures/EDDK_LightFixtures_RWY_"
1774183308.282,4603.7,ERROR,"E/OBJ: ERROR: object Custom Scenery/EDDK - Iberdesign V2.6 - Airport/Assets/Models/LightFixtures/EDDK_LightFixtures_RWY_"
1774183308.282,4603.7,ERROR,"E/OBJ: ERROR: object Custom Scenery/EDDK - Iberdesign V2.6 - Airport/Assets/Models/LightFixtures/EDDK_LightFixtures_RWY_"
1774183308.282,4603.7,ERROR,"E/OBJ: ERROR: object Custom Scenery/EDDK - Iberdesign V2.6 - Airport/Assets/Models/LightFixtures/EDDK_LightFixtures_RWY_"
1774183308.282,4603.7,ERROR,"E/OBJ: ERROR: object Custom Scenery/EDDK - Iberdesign V2.6 - Airport/Assets/Models/LightFixtures/EDDK_LightFixtures_RWY_"
1774183308.282,4603.7,ERROR,"E/OBJ: ERROR: object Custom Scenery/EDDK - Iberdesign V2.6 - Airport/Assets/Models/LightFixtures/EDDK_LightFixtures_RWY_"
1774183308.282,4603.7,ERROR,"E/OBJ: ERROR: object Custom Scenery/EDDK - Iberdesign V2.6 - Airport/Assets/Models/LightFixtures/EDDK_LightFixtures_APP_"
1774183308.282,4603.7,ERROR,"E/OBJ: ERROR: object Custom Scenery/EDDK - Iberdesign V2.6 - Airport/Assets/Models/LightFixtures/EDDK_LightFixtures_APP_"
1774183308.282,4603.7,ERROR,"E/OBJ: ERROR: object Custom Scenery/EDDK - Iberdesign V2.6 - Airport/Assets/Models/LightFixtures/EDDK_LightFixtures_Taxi"
1774183308.282,4603.7,ERROR,"E/OBJ: ERROR: object Custom Scenery/EDDK - Iberdesign V2.6 - Airport/Assets/Models/LightFixtures/EDDK_LightFixtures_Taxi"
1774183308.282,4603.7,ERROR,"E/OBJ: ERROR: object Custom Scenery/EDDK - Iberdesign V2.6 - Airport/Assets/Models/LightFixtures/EDDK_LightFixtures_Taxi"
1774183308.282,4603.7,ERROR,"E/OBJ: ERROR: object Custom Scenery/EDDK - Iberdesign V2.6 - Airport/Assets/Models/LightFixtures/EDDK_LightFixtures_Taxi"
1774183308.282,4603.7,ERROR,"E/OBJ: ERROR: object Custom Scenery/EDDK - Iberdesign V2.6 - Airport/Assets/Models/LightFixtures/EDDK_LightFixtures_THRE"
1774183308.282,4603.7,ERROR,"E/OBJ: ERROR: object Custom Scenery/EDDK - Iberdesign V2.6 - Airport/Assets/Models/LightFixtures/EDDK_LightFixtures_Taxi"
1774183308.282,4603.7,ERROR,"E/OBJ: ERROR: object Custom Scenery/EDDK - Iberdesign V2.6 - Airport/Assets/Models/LightFixtures/EDDK_LightFixtures_Taxi"
1774183308.755,4604.2,DSF,"+50+006.dsf (195ms)"
1774183308.922,4604.3,DSF,"+50+006.dsf (54ms)"
1774183308.988,4604.4,DSF,"+50+006.dsf (84ms)"
1774183309.021,4604.4,DSF,"+50+006.dsf (15ms)"
1774183309.021,4604.4,DSF,"+50+006.dsf (2ms)"
1774183309.388,4604.8,DSF,"+50+006.dsf (357ms)"
1774183314.822,4610.2,DSF,"+50+006.dsf (5434ms)"
1774183315.255,4610.7,DSF,"+50+006.dsf (418ms)"
1774183315.789,4611.2,DSF,"+50+006.dsf (531ms)"
1774183316.087,4611.5,DSF,"+50+008.dsf (227ms)"
