Subscribing to 13 datarefs at 5 Hz...
  [ 0] frame_time_s              = sim/operation/misc/frame_rate_period
  [ 1] gpu_time_s                = sim/time/gpu_time_per_frame_sec_approx
  [ 2] framerate_period_s        = sim/time/framerate_period
  [ 3] lat                       = sim/flightmodel/position/latitude
  [ 4] lon                       = sim/flightmodel/position/longitude
  [ 5] elev_m                    = sim/flightmodel/position/elevation
  [ 6] agl_m                     = sim/flightmodel/position/y_agl
  [ 7] gs_ms                     = sim/flightmodel/position/groundspeed
  [ 8] ias_ms                    = sim/flightmodel/position/indicated_airspeed
  [ 9] tas_ms                    = sim/flightmodel/position/true_airspeed
  [10] sim_time_s                = sim/time/total_running_time_sec
  [11] paused                    = sim/time/paused
  [12] sim_speed                 = sim/time/sim_speed
  No response (attempt 1), retrying in 2s...
  No response (attempt 2), retrying in 2s...
  No response (attempt 3), retrying in 2s...
  No response (attempt 4), retrying in 3s...
  No response (attempt 5), retrying in 4s...
  No response (attempt 6), retrying in 4s...
  No response (attempt 7), retrying in 4s...
  No response (attempt 8), retrying in 5s...
Connected — receiving data from X-Plane (attempt 9)

Recording at 5 Hz to monitoring/run_ae/xplane_telemetry.csv
Max duration: 7200s. Press Ctrl+C to stop.

[  651.3s] FPS=29.4  CPU=13.92ms  GPU=20.10ms  Lat=47.453259  GS=0.0kts  (2946 samples)
[  661.3s] FPS=29.5  CPU=13.69ms  GPU=20.21ms  Lat=47.453259  GS=0.0kts  (2991 samples)
[  671.3s] FPS=31.0  CPU=11.47ms  GPU=20.74ms  Lat=47.453259  GS=0.0kts  (3037 samples)
[  681.4s] FPS=28.6  CPU=13.76ms  GPU=21.24ms  Lat=47.453259  GS=0.0kts  (3083 samples)
[  691.5s] FPS=27.6  CPU=13.85ms  GPU=22.41ms  Lat=47.453259  GS=0.0kts  (3129 samples)
[  701.6s] FPS=28.3  CPU=13.58ms  GPU=21.73ms  Lat=47.453259  GS=0.0kts  (3175 samples)
[  711.6s] FPS=29.3  CPU=12.31ms  GPU=21.88ms  Lat=47.453259  GS=0.0kts  (3221 samples)
[  721.7s] FPS=29.4  CPU=12.58ms  GPU=21.45ms  Lat=47.453259  GS=0.0kts  (3268 samples)
[  731.7s] FPS=30.2  CPU=12.55ms  GPU=20.56ms  Lat=47.453259  GS=0.0kts  (3313 samples)
[  741.9s] FPS=30.1  CPU=13.26ms  GPU=20.02ms  Lat=47.453259  GS=0.0kts  (3359 samples)
[  751.9s] FPS=30.6  CPU=12.83ms  GPU=19.85ms  Lat=47.453259  GS=0.0kts  (3405 samples)
[  762.0s] FPS=29.1  CPU=14.25ms  GPU=20.15ms  Lat=47.453259  GS=0.0kts  (3451 samples)
[  772.1s] FPS=29.8  CPU=13.05ms  GPU=20.50ms  Lat=47.453259  GS=0.0kts  (3497 samples)
[  782.2s] FPS=29.8  CPU=13.70ms  GPU=19.83ms  Lat=47.453259  GS=0.0kts  (3543 samples)
[  792.4s] FPS=30.0  CPU=12.65ms  GPU=20.64ms  Lat=47.453259  GS=0.0kts  (3589 samples)
[  802.4s] FPS=29.8  CPU=13.84ms  GPU=19.67ms  Lat=47.453259  GS=0.0kts  (3635 samples)
[  812.6s] FPS=29.2  CPU=14.40ms  GPU=19.83ms  Lat=47.453259  GS=0.0kts  (3681 samples)
