timestamp,cpu_some10,cpu_some60,mem_some10,mem_some60,mem_full10,mem_full60,io_some10,io_some60,io_full10,io_full60
1774184698.069,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774184699.090,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774184700.111,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774184701.130,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774184702.155,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774184703.181,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774184704.201,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774184705.222,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774184706.243,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774184707.263,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774184708.290,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774184709.308,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774184710.328,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774184711.347,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774184712.367,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774184713.399,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774184714.426,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774184715.447,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774184716.467,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774184717.488,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774184718.515,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774184719.534,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774184720.555,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774184721.575,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774184722.595,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774184723.622,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1774184724.642,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
