WARNING: BPFTRACE_MAP_KEYS_MAX is deprecated. Use BPFTRACE_MAX_MAP_KEYS instead.
Attaching 2 probes...
13:16:17 pid=12402 comm=kworker/2:2 fence_wait_ms=23
13:16:17 pid=5216 comm=kworker/u65:1 fence_wait_ms=6
13:16:18 pid=13060 comm=kworker/1:1 fence_wait_ms=6
13:16:18 pid=5242 comm=kworker/u65:5 fence_wait_ms=8
13:16:18 pid=13060 comm=kworker/1:1 fence_wait_ms=23
13:16:18 pid=5242 comm=kworker/u65:5 fence_wait_ms=6
13:16:19 pid=12402 comm=kworker/2:2 fence_wait_ms=23
13:16:19 pid=5242 comm=kworker/u65:5 fence_wait_ms=6
13:16:19 pid=5216 comm=kworker/u65:1 fence_wait_ms=8
13:16:19 pid=5262 comm=kworker/7:3 fence_wait_ms=23
13:16:19 pid=5216 comm=kworker/u65:1 fence_wait_ms=6
13:16:20 pid=162 comm=kworker/2:1 fence_wait_ms=23
13:16:20 pid=5216 comm=kworker/u65:1 fence_wait_ms=6
13:16:20 pid=5242 comm=kworker/u65:5 fence_wait_ms=8
13:16:21 pid=30404 comm=kworker/4:2 fence_wait_ms=23
13:16:21 pid=5242 comm=kworker/u65:5 fence_wait_ms=6
13:16:21 pid=5262 comm=kworker/7:3 fence_wait_ms=23
13:16:21 pid=5242 comm=kworker/u65:5 fence_wait_ms=6
13:16:21 pid=30404 comm=kworker/4:2 fence_wait_ms=6
13:16:22 pid=13060 comm=kworker/1:1 fence_wait_ms=23
13:16:22 pid=5242 comm=kworker/u65:5 fence_wait_ms=6
13:16:22 pid=13060 comm=kworker/1:1 fence_wait_ms=23
13:16:22 pid=5242 comm=kworker/u65:5 fence_wait_ms=6
13:16:23 pid=5262 comm=kworker/7:3 fence_wait_ms=23
13:16:23 pid=5242 comm=kworker/u65:5 fence_wait_ms=6
13:16:23 pid=12742 comm=kworker/6:1 fence_wait_ms=23
13:16:23 pid=5242 comm=kworker/u65:5 fence_wait_ms=6
13:16:23 pid=229 comm=kworker/0:2 fence_wait_ms=23
13:16:23 pid=5242 comm=kworker/u65:5 fence_wait_ms=6
13:16:24 pid=5262 comm=kworker/7:3 fence_wait_ms=23
13:16:24 pid=5242 comm=kworker/u65:5 fence_wait_ms=6
13:16:24 pid=5262 comm=kworker/7:3 fence_wait_ms=23
13:16:24 pid=5242 comm=kworker/u65:5 fence_wait_ms=6
13:16:24 pid=5262 comm=kworker/7:3 fence_wait_ms=23
13:16:25 pid=5262 comm=kworker/7:3 fence_wait_ms=23
13:16:25 pid=5242 comm=kworker/u65:5 fence_wait_ms=6
13:16:25 pid=12742 comm=kworker/6:1 fence_wait_ms=23
13:16:25 pid=173 comm=kworker/13:1 fence_wait_ms=23
13:16:25 pid=5242 comm=kworker/u65:5 fence_wait_ms=6
13:16:26 pid=162 comm=kworker/2:1 fence_wait_ms=6
13:16:26 pid=5242 comm=kworker/u65:5 fence_wait_ms=6
13:16:26 pid=5242 comm=kworker/u65:5 fence_wait_ms=6
